nombre_id,area,perimetro,ancho,altura,circularidad,feret,FeretAngle,min_feret,razon_aspecto,redondez,Solidity,esferoide,dia,diametro,poblacion_celular
Esferas_BT474_dia_0_well_1_100X_1_blob_1,324.444,67.3603,21.0598,19.7011,0.8985,22.2117,23.4287,19.7011,1.0653,0.9387,0.95,si,0,20.9564,1.491356796983188
Esferas_BT474_dia_0_well_1_100X_1_blob_2,497.5115,82.8004,25.8152,25.1359,0.9119,26.8751,16.1443,25.1289,1.0475,0.9546,0.9569,si,0,26.002,2.8487332309604083
Esferas_BT474_dia_0_well_1_100X_1_blob_3,282.9078,62.1586,19.7011,18.3424,0.9201,20.437,15.4222,18.3424,1.0395,0.962,0.9519,si,0,19.3897,1.1812580710195366
Esferas_BT474_dia_0_well_1_100X_1_blob_5,500.7421,84.5571,26.4946,25.1359,0.8801,26.6336,174.144,25.1359,1.0278,0.973,0.9493,si,0,25.88475,2.8103696347136573
Esferas_BT474_dia_0_well_1_100X_1_blob_6,492.8964,82.0728,25.1359,24.4565,0.9195,26.2232,143.42700000000005,24.4565,1.0186,0.9817,0.9643,si,0,25.33985,2.6365963047688177
Esferas_BT474_dia_0_well_1_100X_1_blob_7,406.1319,74.8814,23.7772,22.4185,0.9102,24.124,9.7276,22.4185,1.0489,0.9533,0.955,si,0,23.27125,2.042164183920052
Esferas_BT474_dia_0_well_1_100X_1_blob_8,333.6742,67.3603,21.7391,19.7011,0.9241,21.9083,7.125,19.7011,1.0531,0.9496,0.9557,si,0,20.8047,1.4592036020514103
Esferas_BT474_dia_0_well_1_100X_1_blob_9,385.8253,73.1247,23.0978,22.4185,0.9067,23.7286,166.7595,22.2892,1.0607,0.9428,0.9489,si,0,23.0089,1.973872468878176
Esferas_BT474_dia_0_well_1_100X_1_blob_10,428.2845,77.2008,23.7772,23.7772,0.903,24.7286,127.1847,23.5382,1.0315,0.9694,0.9469,si,0,24.1334,2.2776503427034327
Esferas_BT474_dia_0_well_1_100X_1_blob_11,579.6609,89.9236,28.5326,26.4946,0.9008,29.1803,12.0948,26.4946,1.0762,0.9292,0.9551,si,0,27.83745,3.4955850222412503
Esferas_BT474_dia_0_well_1_100X_1_blob_13,431.9766,77.7636,25.1359,22.4185,0.8977,25.4642,170.78900000000004,22.4185,1.1267,0.8876,0.9561,si,0,23.94135,2.2237063020503567
Esferas_BT474_dia_0_well_1_100X_1_blob_14,413.0546,76.4049,24.4565,22.4185,0.8891,24.7286,159.0755,22.4185,1.0638,0.9401,0.9461,si,0,23.57355,2.122787329257127
Esferas_BT474_dia_0_well_1_100X_1_blob_15,482.2816,81.8397,25.1359,24.4565,0.9049,26.7977,149.5345,24.4565,1.0624,0.9413,0.9587,si,0,25.6271,2.7272811485099
Esferas_BT474_dia_0_well_1_100X_1_blob_16,405.2088,75.2793,23.0978,23.0978,0.8985,24.009,154.8852,22.8198,1.0205,0.9799,0.9507,si,0,23.4144,2.0800827858443567
Esferas_BT474_dia_0_well_1_100X_1_blob_17,498.4345,82.2377,25.1359,25.1359,0.9261,26.4597,150.8025,25.1359,1.0239,0.9766,0.9626,si,0,25.7978,2.7821435496335827
Esferas_BT474_dia_0_well_1_100X_1_blob_19,527.5099,85.9158,26.4946,25.8152,0.898,27.6537,117.8241,25.8152,1.0259,0.9747,0.9589,si,0,26.73445,3.096316033128773
Esferas_BT474_dia_0_well_1_100X_1_blob_21,695.5008,100.56,31.25,29.8913,0.8643,31.6389,165.0686,29.4931,1.0504,0.952,0.9511,si,0,30.566,4.627509789655967
Esferas_BT474_dia_0_well_1_100X_1_blob_22,430.1306,77.2008,24.4565,23.0978,0.9069,24.6913,7.9072,23.0978,1.0437,0.9581,0.9559,si,0,23.89455,2.2106912270964907
Esferas_BT474_dia_0_well_1_100X_1_blob_23,454.1293,79.3554,25.1359,23.0978,0.9062,26.0023,160.1448,23.0978,1.0669,0.9373,0.954,si,0,24.55005,2.3976658782254536
Esferas_BT474_dia_0_well_1_100X_1_blob_24,565.354,89.9236,26.4946,27.8533,0.8786,28.4516,123.3106,26.4946,1.0386,0.9628,0.95,si,0,27.4731,3.360117934968227
Esferas_BT474_dia_0_well_1_100X_1_blob_25,526.5869,85.5178,27.1739,25.1359,0.9048,28.0102,157.1663,25.1359,1.0951,0.9132,0.9572,si,0,26.57305,3.0405750952320365
Esferas_BT474_dia_0_well_1_100X_1_blob_26,585.1991,89.7588,27.1739,27.1739,0.9128,28.9022,113.5523,27.0684,1.0276,0.9731,0.965,si,0,27.9853,3.55157851804366
Esferas_BT474_dia_0_well_1_100X_1_blob_27,510.4339,85.4496,25.8152,27.1739,0.8785,27.5869,99.9262,25.049,1.067,0.9372,0.9457,si,0,26.31795,2.9538449315750825
Esferas_BT474_dia_0_well_1_100X_1_blob_28,690.4241,98.0758,29.8913,29.8913,0.902,30.901,123.3407,29.8829,1.0198,0.9806,0.9602,si,0,30.39195,4.548908676283927
Esferas_BT474_dia_0_well_1_100X_1_blob_29,778.5732,108.8088,31.9293,31.9293,0.8264,34.2717,140.6307,31.0862,1.0765,0.9289,0.943,si,0,32.67895,5.655041566184673
Esferas_BT474_dia_0_well_2_100X_1_blob_1,390.4404,71.9992,21.7391,22.4185,0.9465,23.7286,66.3706,21.7391,1.0437,0.9581,0.9663,si,0,22.73385,1.9039278662383785
Esferas_BT474_dia_0_well_2_100X_1_blob_2,289.3689,61.9938,19.0217,18.3424,0.9462,20.2669,39.5597,18.3424,1.0176,0.9827,0.9646,si,0,19.30465,1.1657819216797345
Esferas_BT474_dia_0_well_2_100X_1_blob_3,505.3572,85.2847,25.8152,27.1739,0.8731,28.1827,105.3763,25.5245,1.0173,0.983,0.9387,si,0,26.8536,3.137899764193272
Esferas_BT474_dia_0_well_2_100X_1_blob_4,462.898,82.2377,23.0978,27.1739,0.8601,28.3704,106.6992,23.0978,1.1381,0.8787,0.9436,si,0,25.7341,2.7615853656935694
Esferas_BT474_dia_0_well_2_100X_1_blob_5,292.5995,63.3525,19.7011,18.3424,0.9161,20.6616,136.3322,18.3424,1.0588,0.9445,0.9563,si,0,19.502,1.2019017739424378
Esferas_BT474_dia_0_well_2_100X_1_blob_6,275.062,61.3627,19.7011,18.3424,0.918,20.1183,168.3106,18.3424,1.0808,0.9253,0.9453,si,0,19.23035,1.152373030636389
Esferas_BT474_dia_0_well_2_100X_1_blob_7,298.5992,63.5173,19.0217,19.7011,0.9301,20.9279,125.7539,19.0217,1.0564,0.9466,0.9571,si,0,19.9748,1.2914536933113234
Esferas_BT474_dia_0_well_2_100X_1_blob_10,247.8327,58.0825,18.3424,17.663,0.9232,18.8756,30.2564,17.663,1.0498,0.9525,0.9488,si,0,18.2693,0.9880916791514524
Esferas_BT474_dia_0_well_2_100X_1_blob_11,300.4453,63.5173,19.7011,19.0217,0.9358,20.7951,38.3675,19.0217,1.0284,0.9724,0.9588,si,0,19.9084,1.2786173519900716
Esferas_BT474_dia_0_well_2_100X_1_blob_12,562.1234,87.8373,26.4946,27.1739,0.9156,27.7537,158.459,26.4946,1.0072,0.9928,0.9625,si,0,27.12415,3.2337015298765097
Esferas_BT474_dia_0_well_2_100X_1_blob_14,323.5209,65.8367,20.3804,19.7011,0.9379,21.4829,124.6952,19.7011,1.0257,0.975,0.9623,si,0,20.592,1.4149044371711692
Esferas_BT474_dia_0_well_2_100X_1_blob_15,404.2858,76.8711,23.0978,22.4185,0.8597,25.5727,129.6107,22.0423,1.0717,0.9331,0.9429,si,0,23.8075,2.1866178994171417
Esferas_BT474_dia_0_well_2_100X_1_blob_16,393.671,73.7558,23.0978,21.7391,0.9094,23.5823,41.4965,21.7391,1.0399,0.9616,0.9563,si,0,22.6607,1.885608311233176
Esferas_BT474_dia_0_well_2_100X_1_blob_17,362.7496,70.4756,21.0598,21.7391,0.9178,22.8366,157.249,21.0598,1.0451,0.9568,0.9574,si,0,21.9482,1.7132796120857443
Esferas_BT474_dia_0_well_2_100X_1_blob_20,515.049,83.9943,25.8152,25.1359,0.9174,26.7977,149.5345,25.1359,1.015,0.9852,0.9612,si,0,25.9668,2.837179536173516
Esferas_BT474_dia_0_well_2_100X_1_blob_21,264.9087,59.4412,18.3424,18.3424,0.9422,19.4654,29.2488,18.2541,1.0349,0.9663,0.9583,si,0,18.85975,1.0870244547276324
Esferas_BT474_dia_0_well_2_100X_1_blob_23,302.7528,64.47800000000001,19.0217,20.3804,0.9151,21.5793,61.8214,19.0217,1.0803,0.9256,0.9473,si,0,20.3005,1.3556629403332832
Esferas_BT474_dia_0_well_2_100X_1_blob_24,304.5989,65.0408,20.3804,19.7011,0.9048,20.7951,38.3675,19.7011,1.035,0.9662,0.949,si,0,20.2481,1.3451922325298926
Esferas_BT474_dia_0_well_2_100X_1_blob_26,380.2871,72.3971,23.7772,20.3804,0.9118,24.2766,162.0721,20.3804,1.1593,0.8626,0.957,si,0,22.3285,1.8038904774637936
Esferas_BT474_dia_0_well_2_100X_1_blob_27,327.213,68.4859,22.4185,20.3804,0.8767,22.9173,11.9761,20.1756,1.0775,0.9281,0.936,si,0,21.54645,1.6209092384309662
Esferas_BT474_dia_0_well_2_100X_1_blob_28,911.4891,111.9924,33.9674,33.9674,0.9132,35.0967,132.6467,33.9674,1.0085,0.9916,0.971,si,0,34.53205,6.6726539583862925
